Name,type,price,vintage,alcohol,bottle size,country,region,grapespecies,producer,Text wine,aromas,bottles,cases,fruit,notes,palate,red,single,six,wine
Alto Molino Malbec Piattelli Vineyards,1.0,10.95,2021.0,14.0,75.0,8.0,10.0,5.0,Piattelli Vineyards,alto molino malbec piattelli vineyards attractive vibrant example argentinian malbec heady mix plump dark brambly fruits plum jam notes combined sweet tannins velvety finishsold single bottles,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Alto Molino Torrontes Piattelli Vineyards,2.0,10.89,2021.0,13.5,75.0,8.0,10.0,9.0,Piattelli Vineyards,alto molino torrontes piattelli vineyards fragrant fruity example torrontés variety argentina bright fruity lychees rose petals combined refreshing tropical fruit flavours delicate hints spice finishsold single bottles,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Amauta Absoluto Torrontes,2.0,8.95,2021.0,12.5,75.0,8.0,10.0,9.0,El Porvenir De Cafayate,amauta absoluto torrontes bright appealing yellow colour lovely fresh tropical fruit citrus blossom notes alsatian style lovely eastern nuances rose petal lemon grass ginger palate rich aromatic fresh beautifully structured lovely rich ripe fruit crisp aciditysold cases six bottles,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
Piattelli Vineyards Grand Malbec,1.0,16.99,2019.0,14.0,75.0,8.0,10.0,5.0,Piattelli Vineyards,piattelli vineyards grand malbec rich fragrant wine represents best crop intense red aromas black fruits vanilla touch smoke aromas transformed palate give wine great structure body soft fruit forward flavour leads strong balanced finishsold single bottles,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Piattelli Vineyards Premium Malbec,1.0,13.29,2020.0,14.0,75.0,8.0,10.0,5.0,Piattelli Vineyards,piattelli vineyards premium malbec striking slightly smoky wine deep burgundy hue fruity bouquet delights senses warms palate notes blackberries blueberries lavender lingers gentle tannin pull finishes subtle flavours toasted hazelnutssold single bottles,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
Piattelli Vineyards Premium Tannat,1.0,13.39,2020.0,14.5,75.0,8.0,10.0,9.0,Piattelli Vineyards,piattelli vineyards premium tannat intense deeply coloured hues violet contours black create fierce scarlett colour wine shows spicy ripe red fruit aromas enhanced eucalyptus fig notes wine great impact combining ripe firm intense tannins bold structure balancing acidity long persistent finishsold single bottles,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Matias Riccitelli Old Vines From Patagonia Trousseau,1.0,33.49,2020.0,12.0,75.0,8.0,10.0,9.0,Matias Riccitelli,matias riccitelli old vines patagonia trousseau matias riccitelli old vines patagonia trousseau made 100 trousseau elegant wine offers aromatic complexity wild redberried fruits mineral notes complemented spicy floral hues refreshing silky light good structure long finishsold single bottles,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Matias Riccitelli Old Vines From Patagonia Torrontes,2.0,31.0,2019.0,12.0,75.0,8.0,10.0,9.0,Matias Riccitelli,matias riccitelli old vines patagonia torrontes matias riccitelli old vines patagonia torrontes golden toned wine complex fine aromas citrus fruit white floral notes subtle vanilla highlights perfectly balanced palate lovely volume elegant finishsold single bottles,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
El Porvenir Alto Los Cuises Malbec Cafayate,1.0,37.99,2019.0,13.5,75.0,8.0,10.0,5.0,El Porvenir De Cafayate,le petit bonbon rose vin de france le petit bonbon rose vin de france subtly fruity floral smooth french rosé palate shows fantastic lightness freshness subtle sweetness flavours strawberry bonbons raspberry sorbet sweet peaches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Finca La Colonia Coleccion Cabernet Franc,1.0,11.99,2021.0,14.0,75.0,8.0,6.0,9.0,Bodega Norton,casa solar tempranillo bouquet shows subtle vanilla tobacco nuances express layer ripe red cherries plums spices palate lively velvety smooth tannins finish long lingering hints liquorice mintsold single bottles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
