Name,type,price,vintage,alcohol,bottle size,country,region,grapespecies,producer,Text wine
Alto Molino Malbec Piattelli Vineyards,Still Red Wine,£10.95,2021,14%,75cl,Argentina,Salta,100% Malbec,Piattelli Vineyards,"Alto Molino Malbec, Piattelli Vineyards - An attractive and vibrant example of Argentinian Malbec, with its heady mix of plump, dark, brambly fruits, plum jam notes combined with sweet tannins and a velvety finish.Sold in single bottles"
Alto Molino Torrontes Piattelli Vineyards,Still White Wine,£10.89,2021,13.50%,75cl,Argentina,Salta,100% Torrontes,Piattelli Vineyards,"Alto Molino Torrontes, Piattelli Vineyards - A fragrant, fruity example of the Torrontés variety from Argentina. Bright and fruity with lychees and rose petals combined with refreshing tropical fruit flavours and a delicate hints of spice on the finish.Sold in single bottles"
Amauta Absoluto Torrontes,Still White Wine,£8.95,2021,12.50%,75cl,Argentina,Cafayate,100% Torrontes,El Porvenir De Cafayate,"Amauta Absoluto Torrontes - Bright and appealing yellow colour with lovely fresh tropical fruit and citrus blossom notes. Alsatian in style, with lovely Eastern nuances of rose petal, lemon grass and ginger. The palate is rich and aromatic, fresh and beautifully structured, with lovely rich ripe fruit and crisp acidity.Sold in cases of six bottles"
Alisios Pinot Grigio Riesling,Still White Wine,£9.49,12%,,zil,Campanha,"50% Pinot Grigio, 50% Riesling",er: Miolo,,"Alisios Pinot Grigio Riesling - This delicate Pinot Grigio blend has lingering aromas of pears, apricots and flowers. It is well-structured, with a refreshing acidity and good balance."
Dona Paula Sauvage Blanc NV,Sparkling Wine,£11.49,,12.50%,75cl,Argentina,Mendoza,100% Sauvignon Blanc,Dona Paula,"Dona Paula, Sauvage Blanc NV - Pale and interesting, Dona Paulas Sauvage Blanc is the first 100% Sauvignon Blanc sparkling wine from Argentina. Showing intense aromas of orange blossom, white peach, with hints of grapefruit and an intriguing touch of mint, it is crisp, lively and persistent on the palate.Sold in cases of six bottles"
Finca Perdriel Extra Brut,Sparkling Wine,£17.69,,12.50%,75cl,Argentina,Mendoza,"50% Chardonnay, 50% Pinot Noir",Finca Decero,"Finca Perdriel Extra Brut - This terrific sparkling wine offers sophisticated savoury aromas of toast and hazelnut alongside peach and citrus fruit. The palate shows fine, delicate bubbles as well as excellent purity and depth.Sold in single bottles"
Piattelli Vineyards Grand Malbec,Still Red Wine,£16.99,2019,14%,75cl,Argentina,Salta,100% Malbec,Piattelli Vineyards,"Piattelli Vineyards Grand Malbec - A rich and fragrant wine which represents the best of the crop. An intense red with aromas of black fruits, vanilla and a touch of smoke. These aromas are transformed on the palate to give the wine great structure and body. A soft fruit forward flavour leads to a strong and balanced finish.Sold in single bottles"
Piattelli Vineyards Premium Malbec,Still Red Wine,£13.29,2020,14%,75cl,Argentina,Salta,100% Malbec,Piattelli Vineyards,"Piattelli Vineyards Premium Malbec - A striking, slightly smoky wine with a deep burgundy hue, this fruity bouquet delights the senses and warms the palate with notes of blackberries, blueberries and lavender. It lingers with a gentle tannin pull and finishes with subtle flavours of toasted hazelnuts.Sold in single bottles"
Piattelli Vineyards Premium Tannat,Still Red Wine,£13.39,2020,14.50%,75cl,Argentina,Salta,100% Tannat,Piattelli Vineyards,"Piattelli Vineyards Premium Tannat - Intense and deeply coloured with hues of violet and contours of black that create a fierce scarlett colour, this wine shows spicy and ripe red fruit aromas enhanced by eucalyptus and fig notes. A wine with great impact, combining its ripe, firm and intense tannins, with a bold structure, balancing acidity and a long, persistent finish.Sold in single bottles"
Matias Riccitelli Old Vines From Patagonia Trousseau,Still Red Wine,£33.49,2020,12%,75cl,Argentina,Patagonia,Trousseau 100%,Matias Riccitelli,"Matias Riccitelli Old Vines From Patagonia Trousseau - Matias Riccitelli Old Vines From Patagonia Trousseau is made from 100% Trousseau this elegant wine offers aromatic complexity with wild red-berried fruits and mineral notes complemented by spicy, floral hues. Refreshing and silky, this is light but with good structure and a long finish.Sold in single bottles"
Matias Riccitelli Old Vines From Patagonia Torrontes,Still White Wine,£31.00,2019,12%,75cl,Argentina,Patagonia,100% Torrontes,Matias Riccitelli,"Matias Riccitelli Old Vines From Patagonia Torrontes - Matias Riccitelli Old Vines From Patagonia Torrontes is a golden toned wine with complex and fine aromas of citrus fruit, white floral notes and subtle vanilla highlights. Perfectly balanced on the palate, with lovely volume and an elegant finish.Sold in single bottles"
