Name,type,price,vintage,alcohol,bottle size,country,region,grapespecies,producer,Text wine
Alto Molino Malbec Piattelli Vineyards,1.0,10.95,2021.0,14.0,75.0,8,10,5,Piattelli Vineyards,"Alto Molino Malbec, Piattelli Vineyards - An attractive and vibrant example of Argentinian Malbec, with its heady mix of plump, dark, brambly fruits, plum jam notes combined with sweet tannins and a velvety finish.Sold in single bottles"
Alto Molino Torrontes Piattelli Vineyards,2.0,10.89,2021.0,13.5,75.0,8,10,9,Piattelli Vineyards,"Alto Molino Torrontes, Piattelli Vineyards - A fragrant, fruity example of the Torrontés variety from Argentina. Bright and fruity with lychees and rose petals combined with refreshing tropical fruit flavours and a delicate hints of spice on the finish.Sold in single bottles"
Amauta Absoluto Torrontes,2.0,8.95,2021.0,12.5,75.0,8,10,9,El Porvenir De Cafayate,"Amauta Absoluto Torrontes - Bright and appealing yellow colour with lovely fresh tropical fruit and citrus blossom notes. Alsatian in style, with lovely Eastern nuances of rose petal, lemon grass and ginger. The palate is rich and aromatic, fresh and beautifully structured, with lovely rich ripe fruit and crisp acidity.Sold in cases of six bottles"
Piattelli Vineyards Grand Malbec,1.0,16.99,2019.0,14.0,75.0,8,10,5,Piattelli Vineyards,"Piattelli Vineyards Grand Malbec - A rich and fragrant wine which represents the best of the crop. An intense red with aromas of black fruits, vanilla and a touch of smoke. These aromas are transformed on the palate to give the wine great structure and body. A soft fruit forward flavour leads to a strong and balanced finish.Sold in single bottles"
Piattelli Vineyards Premium Malbec,1.0,13.29,2020.0,14.0,75.0,8,10,5,Piattelli Vineyards,"Piattelli Vineyards Premium Malbec - A striking, slightly smoky wine with a deep burgundy hue, this fruity bouquet delights the senses and warms the palate with notes of blackberries, blueberries and lavender. It lingers with a gentle tannin pull and finishes with subtle flavours of toasted hazelnuts.Sold in single bottles"
Piattelli Vineyards Premium Tannat,1.0,13.39,2020.0,14.5,75.0,8,10,9,Piattelli Vineyards,"Piattelli Vineyards Premium Tannat - Intense and deeply coloured with hues of violet and contours of black that create a fierce scarlett colour, this wine shows spicy and ripe red fruit aromas enhanced by eucalyptus and fig notes. A wine with great impact, combining its ripe, firm and intense tannins, with a bold structure, balancing acidity and a long, persistent finish.Sold in single bottles"
Matias Riccitelli Old Vines From Patagonia Trousseau,1.0,33.49,2020.0,12.0,75.0,8,10,9,Matias Riccitelli,"Matias Riccitelli Old Vines From Patagonia Trousseau - Matias Riccitelli Old Vines From Patagonia Trousseau is made from 100% Trousseau this elegant wine offers aromatic complexity with wild red-berried fruits and mineral notes complemented by spicy, floral hues. Refreshing and silky, this is light but with good structure and a long finish.Sold in single bottles"
Matias Riccitelli Old Vines From Patagonia Torrontes,2.0,31.0,2019.0,12.0,75.0,8,10,9,Matias Riccitelli,"Matias Riccitelli Old Vines From Patagonia Torrontes - Matias Riccitelli Old Vines From Patagonia Torrontes is a golden toned wine with complex and fine aromas of citrus fruit, white floral notes and subtle vanilla highlights. Perfectly balanced on the palate, with lovely volume and an elegant finish.Sold in single bottles"
El Porvenir Alto Los Cuises Malbec Cafayate,1.0,37.99,2019.0,13.5,75.0,8,10,5,El Porvenir De Cafayate,"Le Petit Bonbon Rose Vin de France - Le Petit Bonbon Rose Vin de France is a Subtly fruity, floral and smooth French Rosé. The palate shows fantastic lightness, freshness and subtle sweetness. With flavours of strawberry bonbons, raspberry sorbet and sweet peaches."
Finca La Colonia Coleccion Cabernet Franc,1.0,11.99,2021.0,14.0,75.0,8,6,9,Bodega Norton,"Casa Solar Tempranillo - The bouquet shows subtle vanilla and tobacco nuances express themselves under a layer of ripe red cherries, plums and spices. The palate is lively with velvety, smooth tannins. The finish is long, with lingering hints of liquorice and mint.Sold in single bottles"
Amauta Absoluto Malbec,1.0,8.95,2021.0,14.0,75.0,8,10,5,El Porvenir De Cafayate,"Ancora Rosato, Monferrato Chiaretto - Bright strawberry pink hue. Delicately aromatic with wild strawberry fruit characters. Light and crisp on the palate with ripe fruit balanced by tangy acidity.Sold in cases of six bottles"
Andeluna Blanc De Franc Tupungato,4.0,26.99,2020.0,12.5,75.0,8,6,9,Andeluna Cellars,"Neudorf Moutere Pinot Noir - This wine is made from 100% organic certified, single vineyard Pinot Noir planted in clay gravel soil, hand harvested and wild fermented. It is matured in oak barrels, 20% of which are new, unfined, unfiltered, and vegan-friendly."
Otronia Pinot Noir,1.0,47.99,2017.0,13.5,75.0,8,10,9,Bodega Otronia,"Catena Appellation Chardonnay - A deliciously rich, broad and tropical fruit-driven wine made with grapes from prime low-yielding vines, aged in 100% French oak barrels."
Catena Appellation Chardonnay,2.0,13.99,2019.0,13.5,75.0,8,6,2,Catena,"Vallone Appassimento - Proper Appassimento with a ripe, southern and lightly savoury twist, this Puglian red comes from Vallone’s Tenuta Serranova estate, the home of Graticciaia, the region’s most famous Appassimento-style wine."
Matias Riccitelli Blanco de la Casa,2.0,21.59,2021.0,12.5,75.0,8,10,9,Matias Riccitelli,"Bodegas Paniza El Campeon Syrah, Carinena - Bodegas Paniza El Campeon Syrah, A silky smooth Syrah delivering sublime aromatic complexity. Notes of violet, cassis, blackcurrant and blueberry are complemented by balsamic nuances and an elegant touch of minerality.Sold in cases of six bottles"
Bodega Norton Altura White Blend,1.0,16.99,2020.0,13.0,75.0,8,6,9,Bodega Norton,Whitehall Vineyard Madeline May Chardonnay - Whitehall Vineyard Madeline May Chardonnay is a well balanced and complex wine with notes of citrus and stone fruits complimenting good mineralogy and a medium body providing a fresh clean finish.Sold in single bottles
Amauta Absoluto Tannat,1.0,8.95,2020.0,14.5,75.0,8,10,9,El Porvenir De Cafayate,"Argento Malbec Rose - This sophisticated Malbec Rose offers intense aromas of fresh red berries, with concentrated cherry fruit flavours and a hint of melon. A beautifully balanced wine with crisp acidity and a lively finish."
Otronia 45 Rugientes Pinot Noir,1.0,23.49,2018.0,13.5,75.0,8,10,9,Bodega Otronia,"Esquinas de Argento Pinot Grigio - This delicious Pinot Grigio comes from the high-altitude vineyards in Mendoza, where the cool desert climate confers delicate floral aromas on the wine, as well as refreshing fruit flavours of tangerines and melon combined with clean mineral notes, and a crisp finish.Sold in single bottles"
Pulenta Estate XIV Pinot Gris,2.0,12.29,2021.0,12.5,75.0,8,6,9,Pulenta Estate,"Domaine Drouhin Roserock Chardonnay - The Roserock Chardonnay is a confident expression of the excellent vintage. On the nose and the palate, the wine is inviting, engaging, and intriguing – in short, the kind of experience one hopes for in a wine. The aromatics range from classic white flowers to tart lemon meringue. At its core, there is texture and energy, buoyed by bright acidity and well-integrated oak.Sold in single bottles"
Pulenta Estate III Cabernet Sauvignon,1.0,17.59,2019.0,14.5,75.0,8,6,9,Pulenta Estate,"Unico Zelo Tropo Big Red - Unico Zelo Tropo Big Red has plenty of blue fruit on show with a near-even split of Syrah and Merlot from Birdwood. There's a herbal edge and lovely dusting of olive tapenade, a signature of Merlot. The tannin extraction has been restrained to keep this in a cool climate style with plenty of drinkability.Sold in single bottles"
Amauta Corte IV Innovacion Cabernet Franc Malbec,1.0,13.75,2019.0,14.0,75.0,8,10,9,El Porvenir De Cafayate,"Ancora Pinot Grigio Rose - Wonderfully easy drinking Pinot Grigio rose. A dry, fresh and fruity rose with delicate aromas of red berries. Crisp and lively on the palate with good intensity of ripe berry and red cherry fruit."
Pasarisa Patagonia Merlot,1.0,12.99,2018.0,14.0,75.0,8,10,6,Catena,"Pasion De Bobal Rosado - Bright raspberry in colour, with delicate aromas of strawberries and cherries, together with hints of rose and violet. The palate is well balanced with just the right amount of acidity and heat from the alcohol, which is so important in a quality rosé. The soft minerality works to add some palate weight, before lemony acidity results in a clean refreshing finish.Sold in cases of six bottles"
Estampado White Blend,2.0,6.39,2020.0,13.5,75.0,8,6,9,Boutinot Argentina,"Bibi Graetz Bugia IGT Toscana Bianco - Bugia comes from the selection of the best vineyards, 90 years old, on Giglio Island, Tuscany. It is rich in minerality, due to the granite soil of the island and the its climate. The grapes are hand-picked, soft pressed and fermented in stainless steel tanks, only a 10% goes in French barriques.Sold in cases of six bottles"
Pulenta Estate VIII Chardonnay,2.0,12.39,2021.0,13.5,75.0,8,6,2,Pulenta Estate,"Pilferer Pinot Noir Marlborough - A fine, vibrant, fruit filled organic Pinot Noir from Marlbrorough. Polished yet with soul and complxity."
Bodega Catena Zapata Malbec Argentino 2019,1.0,64.49,2019.0,14.0,75.0,8,6,5,Catena,Lomond Wines Pincushion Sauvignon Blanc Cape Agulhas - Lomond Wines Pincushion Sauvignon Blanc Cape Agulhas has intense notes of passionfruit are layered with citrus nuances and the distinctive oyster-shell minerality that comes from the Cape Agulhas vineyards.Sold in cases of six bottles
Pasarisa Patagonia Pinot Noir,1.0,13.79,2017.0,14.0,75.0,8,10,9,Catena,"Romandiola Pignoletto Frizzante Emilia Romagna - An attractive and delicately floral bouquet on the nose, leading to a crisp, refreshing flavour with a soft, full and harmonious palate. Delicately sparkling, this is a cross between Pinot Grigio and Prosecco in style.Sold in single bottles"
Bodega La Flor Sauvignon Blanc Pulenta,2.0,11.99,2021.0,13.0,75.0,8,6,3,Pulenta Estate,"93, James Suckling | 93, Wine Advocate "
